team_id,TEAM
0,acadia
1,capebreton
2,dalhousie
3,memorial
4,saintmarys
5,stfx
6,unb
7,upei
8,bishops
9,concordia
10,laval
11,mcgill
12,uqam
13,brock
14,carleton
15,guelph
16,lakehead
17,laurentian
18,laurier
19,mcmaster
20,ottawa
21,queens
22,toronto
23,waterloo
24,western
25,windsor
26,york
27,alberta
28,brandon
29,calgary
30,lethbridge
31,manitoba
32,regina
33,saskatchewan
34,thompsonrivers
35,trinitywestern
36,ubc
37,ubcokanagan
38,ufv
39,victoria
40,winnipeg
41,mountroyal
42,unbc
43,algoma
44,nipissing
45,macewan
46,ontariotech
